rank,latitude,longitude,ml_probability,on_triassic,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score,priority,elevation_m,slope_deg,aspect_deg,tri,tpi_15m,tpi_adj,composite_v2,rank_v2,rank_v1,rank_delta,tpi,v3_score,submodel,v3_rank
28,40.55027777752818,-118.23250000021132,0.7946049,False,1361,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8946,3,1643.8843994140625,21.610734939575195,190.47996520996094,26.724365234375,6.3199462890625,-0.05,0.8445999999999999,17,3,-14,-6.956787109375,0.5005618497981208,north,11
11,40.77611111130734,-118.51138888940022,0.81180894,False,33005,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8118,22,1678.1845703125,9.537504196166992,180.3279571533203,11.060501098632812,9.2730712890625,0.0,0.8118,25,22,-3,1.1116943359375,0.49872423767779117,north,12
37,40.83972222254402,-117.72083333299425,0.79204267,False,1059,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.892,5,1685.4256591796875,31.824947357177734,230.65951538085938,41.15162658691406,93.7452392578125,-0.05,0.842,19,5,-14,-3.988037109375,0.4982368574310497,north,13
48,39.696944442510286,-117.85222222202448,0.78882098,False,28188,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888,49,1700.3968505859375,31.25442886352539,250.001220703125,35.19685363769531,-44.6683349609375,0.0,0.7888,51,49,-2,3.206298828125,0.47956027690644987,north,14
49,40.79583333356849,-117.4591666660461,0.78878969,False,14024,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7888,49,1742.633544921875,31.813339233398438,190.73252868652344,43.21659851074219,180.4559326171875,-0.05,0.7387999999999999,60,49,-11,4.16357421875,0.47151115995364085,north,15
30,40.73444444455841,-118.79111111192336,0.79397529,False,51578,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794,35,1637.0013427734375,19.923322677612305,264.45465087890625,18.360519409179688,66.98388671875,0.0,0.794,39,35,-4,-7.6348876953125,0.4595372388460418,north,16
17,40.11305555444284,-117.20249999910334,0.79911894,False,4801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8491,10,1507.438720703125,6.771213054656982,174.66192626953125,8.356109619140625,-4.466552734375,0.05,0.8991,6,10,4,-3.092529296875,0.456826385000108,north,17
34,40.11305555444284,-117.20277777688142,0.79283285,False,4817,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8428,12,1507.438720703125,6.771213054656982,174.66192626953125,8.356109619140625,-5.564697265625,0.05,0.8928,12,12,0,-3.092529296875,0.456826385000108,north,18
29,40.751111111257984,-117.50916666609989,0.79402113,False,11544,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.794,35,1671.9561767578125,25.484176635742188,192.1662139892578,30.582733154296875,66.98388671875,-0.05,0.744,56,35,-21,10.916259765625,0.4412108878895271,north,19
23,40.1391666656055,-117.47222222161572,0.79586679,False,3371,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8459,11,1636.3380126953125,27.651777267456055,254.10379028320312,33.090423583984375,39.7525634765625,-0.05,0.7958999999999999,35,11,-24,-5.6533203125,0.43920336917706443,north,20
41,40.74055555568159,-117.6313888884536,0.79059702,False,9897,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7906,43,1664.843017578125,29.006797790527344,181.20777893066406,33.660308837890625,-113.09228515625,0.1,0.8906,14,43,29,9.3946533203125,0.4261902240637068,north,21
38,39.728055553682815,-117.78694444417648,0.79169452,False,22199,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7917,41,1673.8466796875,25.884517669677734,237.12535095214844,33.76994323730469,-144.403076171875,0.0,0.7917,43,41,-2,7.3577880859375,0.42325233026774045,north,22
